concept:name,lifecycle:transition,org:resource,time:timestamp,Program,Course code,Grade,case:concept:name,case:variant,case:variant-index,case:creator
42002,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-23 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42002,12,STNR000747,Variant 933,933,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-06-26 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,10,STNR000747,Variant 933,933,Fluxicon Disco
42413,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42413,12,STNR000750,Variant 936,936,Fluxicon Disco
42433,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-08 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42433,12,STNR000750,Variant 936,936,Fluxicon Disco
42887-1,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-12 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42887-1,10,STNR000750,Variant 936,936,Fluxicon Disco
2450,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-09 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",2450,10,STNR000750,Variant 936,936,Fluxicon Disco
42002,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-23 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42002,12,STNR000750,Variant 936,936,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-07-02 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,12,STNR000750,Variant 936,936,Fluxicon Disco
42413,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42413,12,STNR000752,Variant 938,938,Fluxicon Disco
42433,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-12-08 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42433,12,STNR000752,Variant 938,938,Fluxicon Disco
42457,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-19 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42457,7,STNR000752,Variant 938,938,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-06-13 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,10,STNR000752,Variant 938,938,Fluxicon Disco
E42-30,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-02-08 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-30,10,STNR000762,Variant 1,1,Fluxicon Disco
