case_id,no_dev_total,no_constr_total,dev_fitness
STNR000343,6,922,0.9934924078091106
STNR000344,0,922,1.0
STNR000345,1,922,0.9989154013015185
STNR000346,5,922,0.9945770065075922
STNR000347,5,922,0.9945770065075922
STNR000348,10,922,0.9891540130151844
STNR000349,5,922,0.9945770065075922
STNR000350,9,922,0.9902386117136659
STNR000351,3,922,0.9967462039045553
STNR000352,16,922,0.982646420824295
STNR000353,8,922,0.9913232104121475
STNR000354,10,922,0.9891540130151844
STNR000355,9,922,0.9902386117136659
STNR000356,13,922,0.9859002169197397
STNR000357,4,922,0.9956616052060737
STNR000358,5,922,0.9945770065075922
STNR000359,18,922,0.9804772234273319
STNR000360,17,922,0.9815618221258134
STNR000361,17,922,0.9815618221258134
STNR000362,4,922,0.9956616052060737
STNR000363,14,922,0.9848156182212582
STNR000364,1,922,0.9989154013015185
STNR000365,0,922,1.0
STNR000366,0,922,1.0
STNR000367,5,922,0.9945770065075922
STNR000368,4,922,0.9956616052060737
STNR000369,1,922,0.9989154013015185
STNR000370,6,922,0.9934924078091106
STNR000371,4,922,0.9956616052060737
STNR000372,0,922,1.0
STNR000373,0,922,1.0
STNR000374,12,922,0.9869848156182213
STNR000375,12,922,0.9869848156182213
STNR000376,14,922,0.9848156182212582
STNR000377,1,922,0.9989154013015185
STNR000378,0,922,1.0
STNR000379,0,922,1.0
STNR000380,4,922,0.9956616052060737
STNR000381,6,922,0.9934924078091106
STNR000382,4,922,0.9956616052060737
STNR000383,4,922,0.9956616052060737
STNR000384,2,922,0.9978308026030369
STNR000385,20,922,0.9783080260303688
STNR000386,5,922,0.9945770065075922
STNR000387,11,922,0.9880694143167028
STNR000388,1,922,0.9989154013015185
STNR000389,5,922,0.9945770065075922
STNR000390,0,922,1.0
STNR000391,0,922,1.0
STNR000392,0,922,1.0
STNR000393,0,922,1.0
STNR000394,3,922,0.9967462039045553
STNR000395,0,922,1.0
STNR000396,0,922,1.0
STNR000397,3,922,0.9967462039045553
STNR000398,0,922,1.0
STNR000399,1,922,0.9989154013015185
STNR000400,6,922,0.9934924078091106
STNR000401,1,922,0.9989154013015185
STNR000402,0,922,1.0
STNR000403,0,922,1.0
STNR000404,0,922,1.0
STNR000405,0,922,1.0
STNR000406,10,922,0.9891540130151844
STNR000407,0,922,1.0
STNR000408,1,922,0.9989154013015185
STNR000409,0,922,1.0
STNR000410,6,922,0.9934924078091106
STNR000411,5,922,0.9945770065075922
STNR000412,8,922,0.9913232104121475
STNR000413,6,922,0.9934924078091106
STNR000414,6,922,0.9934924078091106
STNR000415,8,922,0.9913232104121475
STNR000416,5,922,0.9945770065075922
STNR000417,4,922,0.9956616052060737
STNR000418,7,922,0.9924078091106291
STNR000419,11,922,0.9880694143167028
STNR000420,0,922,1.0
STNR000421,0,922,1.0
STNR000422,6,922,0.9934924078091106
STNR000423,6,922,0.9934924078091106
STNR000424,17,922,0.9815618221258134
STNR000425,5,922,0.9945770065075922
STNR000426,0,922,1.0
STNR000427,6,922,0.9934924078091106
STNR000428,3,922,0.9967462039045553
STNR000429,9,922,0.9902386117136659
STNR000430,1,922,0.9989154013015185
STNR000431,7,922,0.9924078091106291
STNR000432,12,922,0.9869848156182213
STNR000433,1,922,0.9989154013015185
STNR000434,0,922,1.0
STNR000435,8,922,0.9913232104121475
STNR000436,7,922,0.9924078091106291
STNR000437,3,922,0.9967462039045553
STNR000438,5,922,0.9945770065075922
STNR000439,6,922,0.9934924078091106
STNR000440,4,922,0.9956616052060737
STNR000441,4,922,0.9956616052060737
STNR000442,0,922,1.0
STNR000443,9,922,0.9902386117136659
STNR000444,1,922,0.9989154013015185
STNR000445,4,922,0.9956616052060737
STNR000446,5,922,0.9945770065075922
STNR000447,2,922,0.9978308026030369
STNR000448,0,922,1.0
STNR000449,6,922,0.9934924078091106
STNR000450,4,922,0.9956616052060737
STNR000451,1,922,0.9989154013015185
STNR000452,3,922,0.9967462039045553
STNR000453,8,922,0.9913232104121475
STNR000454,1,922,0.9989154013015185
STNR000455,0,922,1.0
STNR000456,3,922,0.9967462039045553
STNR000457,0,922,1.0
STNR000458,1,922,0.9989154013015185
STNR000459,10,922,0.9891540130151844
STNR000460,3,922,0.9967462039045553
STNR000461,6,922,0.9934924078091106
STNR000462,2,922,0.9978308026030369
STNR000463,7,922,0.9924078091106291
STNR000464,6,922,0.9934924078091106
STNR000465,2,922,0.9978308026030369
STNR000466,1,922,0.9989154013015185
STNR000467,4,922,0.9956616052060737
STNR000468,3,922,0.9967462039045553
STNR000469,1,922,0.9989154013015185
STNR000470,1,922,0.9989154013015185
STNR000471,8,922,0.9913232104121475
STNR000472,7,922,0.9924078091106291
STNR000473,5,922,0.9945770065075922
STNR000474,3,922,0.9967462039045553
STNR000475,7,922,0.9924078091106291
STNR000476,7,922,0.9924078091106291
STNR000477,5,922,0.9945770065075922
STNR000478,5,922,0.9945770065075922
STNR000479,11,922,0.9880694143167028
STNR000480,7,922,0.9924078091106291
STNR000481,8,922,0.9913232104121475
STNR000482,2,922,0.9978308026030369
STNR000483,3,922,0.9967462039045553
STNR000484,1,922,0.9989154013015185
