STUDIENR,UDDANNELSE,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,BEDOMMELSESDATO
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2809,02809 UX design prototypeudvikling,4,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2018-01-15
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2823,02823 Computerspilprototyper,12,7-trinsskala,5.0,Skriftlig,intern censur,2018-01-19
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2826,02826 Lyddesign gennem funktionsprogrammering,10,7-trinsskala,5.0,Afløsningsopgave,intern censur,2018-01-19
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2840,02840 Grundlæggende computerspilprogrammering (DADIU),12,7-trinsskala,15.0,Skriftlig,intern censur,2019-01-28
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",2841,02841 Computerspilprogrammering i en produktion (DADIU),12,7-trinsskala,15.0,Skriftlig,intern censur,2019-01-28
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",42575,42575 Teknologi og innovationsledelse,10,7-trinsskala,5.0,Afløsningsopgave,intern censur,2018-01-25
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",42436-1,"42436 Kommercialisering af high-tech koncepter, iværksætteri og videnskab i aktion",12,7-trinsskala,5.0,Mundtlig,ekstern censur,2017-12-22
STNR005791,"Menneskeorienteret kunstig intelligens, cand.polyt.",E01-30,Institut for Matematik og Computer Science,12,7-trinsskala,30.0,Projekt,ekstern censur,2019-06-27
STNR005792,"Menneskeorienteret kunstig intelligens, cand.polyt.",2450,02450 Introduktion til machine learning og data mining,7,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-01-09
STNR005792,"Menneskeorienteret kunstig intelligens, cand.polyt.",2458,02458 Kognitiv modellering,10,7-trinsskala,5.0,Afløsningsopgave,intern censur,2018-02-27
STNR005792,"Menneskeorienteret kunstig intelligens, cand.polyt.",2460,02460 Avanceret machine learning,10,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-06-12
STNR005792,"Menneskeorienteret kunstig intelligens, cand.polyt.",2830,02830 Avanceret projekt i digitale medieteknologier,10,7-trinsskala,10.0,Skriftlig,intern censur,2018-01-22
STNR005792,"Menneskeorienteret kunstig intelligens, cand.polyt.",42436-1,"42436 Kommercialisering af high-tech koncepter, iværksætteri og videnskab i aktion",10,7-trinsskala,5.0,Mundtlig,ekstern censur,2017-12-22
STNR005792,"Menneskeorienteret kunstig intelligens, cand.polyt.",E01-30,Institut for Matematik og Computer Science,12,7-trinsskala,30.0,Projekt,ekstern censur,2018-06-11
STNR005794,"Menneskeorienteret kunstig intelligens, cand.polyt.",1227,01227 Grafteori,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-06-06
